tag,tag_count,word_count
totaldoctagswords,327,13113
arrivaldeparture,5,25
authori,1,1
authorwe,1,1
blend,3,16
chapepigraph,3,115
chapmarker,3,6
characterdiction,2,5
characterdiction_i,2,5
chnameintro,6,14
chportrait,1,302
chportrait_i,4,14
chportrait_quotedlit,1,9
chportraitintro,1,168
cryptonym,4,6
dia,65,3630
dia_i,15,31
dia_quotedlit,1,14
diam,2,65
diam_m,2,6
diaq,7,338
diaq_i,3,5
diatheater,56,2375
diatheater_cryptonym,1,3
diatheater_i,59,85
doxaitalics,1,3
doxaitalics_i,1,3
doxaquotes,2,10
doxaquotes_i,2,10
fid,1,12
fid_fiditalics,1,4
fid_i,1,4
fiditalics,6,12
fiditalics_doxaquotes,1,4
fiditalics_i,6,12
fiditalics_quotedlit,1,4
fidquotes,1,4
fidquotes_i,1,4
footnote,1,7
i,114,237
italicsother,5,6
italicsother_i,5,6
m,3,13
metaphor,1,4
monologuethought,2,337
monologuethought_i,1,1
monologuethought_m,1,7
monologuethought_quotedlit,1,42
quotedlit,10,144
quotedlit_doxaquotes,1,4
quotedlit_i,6,56
sceneaction,1,1259
sceneaction_arrivaldeparture,1,2
sceneaction_blend,1,6
sceneaction_cryptonym,1,1
sceneaction_dia,6,508
sceneaction_diaq,2,103
sceneaction_i,3,3
sceneaction_italicsother,1,1
sceneaction_metaphor,1,4
sceneaction_trigger,1,3
scenedia,5,7592
scenedia_arrivaldeparture,4,23
scenedia_blend,2,10
scenedia_cryptonym,2,4
scenedia_dia,59,3122
scenedia_diam,2,65
scenedia_diaq,4,174
scenedia_diatheater,56,2375
scenedia_doxaquotes,1,4
scenedia_fiditalics,5,8
scenedia_i,85,155
scenedia_m,3,13
scenedia_monologuethought,1,174
scenedia_quotedlit,4,78
scenedia_sententia,1,49
scenedia_trigger,3,11
scenequasi,2,362
scenequasi_characterdiction,1,3
scenequasi_diaq,1,61
scenequasi_fidquotes,1,4
scenequasi_i,5,13
sententia,2,70
sententia_i,2,2
speechinsert,6,300
speechinsert_i,1,1
trigger,4,14
