tag,tag_count,word_count
totaldoctagswords,327,13247
arrivaldeparture,5,25
authorwe,1,1
autoriali,1,1
blend,3,16
chapepigraph,3,115
chapmarker,3,6
characterdiction,2,5
characterdiction_i,2,5
chnameintro,6,14
chportrait,1,307
chportrait_i,4,14
chportrait_quotedlit,1,9
chportraitintro,1,170
criptonym,1,1
cryptonym,3,5
dia,64,3686
dia_i,15,31
dia_quotedlit,1,14
diam,2,65
diam_m,2,6
diaq,7,340
diaq_i,3,5
diatheater,56,2391
diatheater_cryptonym,1,3
diatheater_i,59,85
doxaitalics,1,3
doxaitalics_i,1,3
doxaquotes,2,10
doxaquotes_i,2,10
fid,1,12
fid_fiditalics,1,4
fid_i,1,4
fiditalics,6,12
fiditalics_doxaquotes,1,4
fiditalics_i,6,12
fiditalics_quotedlit,1,4
fidquotes,1,4
fidquotes_i,1,4
footnote,2,8
i,114,237
italicsother,5,6
italicsother_i,5,6
m,3,13
metaphore,1,4
monloguethought,1,165
monloguethought_i,1,1
monlologuethoguht,1,176
monlologuethoguht_m,1,7
monlologuethoguht_quotedlit,1,42
quotedlit,10,144
quotedlit_doxaquotes,1,4
quotedlit_i,6,56
sceneaction,1,1269
sceneaction_arrivaldeparture,1,2
sceneaction_blend,1,6
sceneaction_criptonym,1,1
sceneaction_dia,6,512
sceneaction_diaq,2,104
sceneaction_i,3,3
sceneaction_italicsother,1,1
sceneaction_metaphore,1,4
sceneaction_trigger,1,3
scenedia,5,7656
scenedia_arrivaldeparture,4,23
scenedia_blend,2,10
scenedia_cryptonym,2,4
scenedia_dia,58,3174
scenedia_diam,2,65
scenedia_diaq,4,174
scenedia_diatheater,56,2391
scenedia_doxaquotes,1,4
scenedia_fiditalics,5,8
scenedia_i,85,155
scenedia_m,3,13
scenedia_monlologuethoguht,1,176
scenedia_quotedlit,4,78
scenedia_sententia,1,49
scenedia_trigger,3,11
scenequasi,2,364
scenequasi_characterdiction,1,3
scenequasi_diaq,1,62
scenequasi_fidquotes,1,4
scenequasi_i,5,13
sententia,2,70
sententia_i,2,2
speechinsert,6,302
speechinsert_i,1,1
trigger,4,14
