tag,tag_count,word_count
totaldoctagswords,180,12052
arrivaldeparture,3,9
authorialobservation,1,24
blend,2,9
chapmarker,20,40
chnameintro,3,6
chnameintro_arrivaldeparture,1,2
chnamenointro,1,3
cryptonym,2,3
descriptorq,1,11
dia,1,11
diam,45,2001
diam_m,50,208
diam_quotedlit,1,11
diaq,12,493
diaq_m,2,4
diaq_quotedlit,1,18
fidambig,1,9
m,54,224
monologue,3,158
monologue_m,1,9
quotedlit,6,76
quotedtext,1,397
quotedtext_cryptonym,1,2
reportedspeechquotes,2,30
sceneaction,3,3195
sceneaction_chapmarker,3,6
sceneaction_chnamenointro,1,3
sceneaction_cryptonym,1,1
sceneaction_descriptorq,1,11
sceneaction_diam,23,1123
sceneaction_diaq,3,83
sceneaction_m,25,107
sceneaction_quotedlit,1,11
sceneaction_sententia,2,48
sceneconsciousness,1,163
scenedia,3,1700
scenedia_arrivaldeparture,3,9
scenedia_blend,1,4
scenedia_chapmarker,1,2
scenedia_chnameintro,2,4
scenedia_dia,1,11
scenedia_diam,15,571
scenedia_diaq,6,278
scenedia_m,21,84
scenedia_quotedlit,2,32
scenedia_reportedspeechquotes,2,30
scenedia_trigger,1,12
sceneperception,1,92
scenequasi,6,2577
scenequasi_blend,1,5
scenequasi_chapmarker,2,4
scenequasi_diam,7,307
scenequasi_diaq,3,132
scenequasi_m,7,24
scenequasi_quotedlit,2,21
scenequasi_sententia,1,25
scenereadingwriting,1,819
scenereadingwriting_chapmarker,1,2
scenereadingwriting_cryptonym,1,2
scenereadingwriting_m,1,9
scenereadingwriting_monologue,3,158
scenereadingwriting_quotedtext,1,397
sententia,5,144
sententia_quotedlit,2,24
thoughtsummary,1,95
trigger,1,12
