tag,tag_count,word_count
totaldoctagswords,181,12157
arraivaldeparture,1,2
arrivaldeparture,2,7
authorialobservation,1,24
blend,2,9
chapmarker,20,40
chnameintro,3,6
chnameintro_arraivaldeparture,1,2
chnamenointro,1,3
cryptonym,2,3
descriptorq,1,11
dia,1,11
diam,45,2030
diam_m,50,208
diam_quotedlit,1,11
diaq,12,499
diaq_m,2,4
diaq_quotedlit,1,18
fidambig,1,9
m,54,224
monologue,3,160
monologue_m,1,9
quotedlit,6,76
quotedtext,1,399
quotedtext_cryptonym,1,2
reportedspeechquotes,2,30
sceneaction,3,13702
sceneaction_arraivaldeparture,1,2
sceneaction_arrivaldeparture,2,7
sceneaction_authorialobservation,1,24
sceneaction_blend,2,9
sceneaction_chapmarker,20,40
sceneaction_chnameintro,3,6
sceneaction_chnamenointro,1,3
sceneaction_cryptonym,2,3
sceneaction_descriptorq,2,22
sceneaction_dia,1,11
sceneaction_diam,55,2417
sceneaction_diaq,14,571
sceneaction_fidambig,1,9
sceneaction_m,66,279
sceneaction_monologue,3,160
sceneaction_quotedlit,7,87
sceneaction_quotedtext,1,399
sceneaction_reportedspeechquotes,2,30
sceneaction_sceneaction,2,1567
sceneaction_sceneconsciousness,1,164
sceneaction_scenedia,3,1713
sceneaction_scenemonologue,1,824
sceneaction_sceneperception,1,92
sceneaction_scenequasi,6,2595
sceneaction_scenereadingwriting,1,824
sceneaction_sententia,5,145
sceneaction_thoughtsummary,1,96
sceneaction_trigger,1,12
sceneconsciousness,1,164
scenedia,3,1713
scenedia_arraivaldeparture,1,2
scenedia_arrivaldeparture,2,7
scenedia_blend,1,4
scenedia_chapmarker,1,2
scenedia_chnameintro,2,4
scenedia_dia,1,11
scenedia_diam,15,577
scenedia_diaq,6,282
scenedia_m,21,84
scenedia_quotedlit,2,32
scenedia_reportedspeechquotes,2,30
scenedia_trigger,1,12
scenemonologue,1,824
scenemonologue_chapmarker,1,2
scenemonologue_cryptonym,1,2
scenemonologue_m,1,9
scenemonologue_monologue,3,160
scenemonologue_quotedtext,1,399
scenemonologue_scenereadingwriting,1,824
sceneperception,1,92
scenequasi,6,2595
scenequasi_blend,1,5
scenequasi_chapmarker,2,4
scenequasi_diam,7,311
scenequasi_diaq,3,133
scenequasi_m,7,24
scenequasi_quotedlit,2,21
scenequasi_sententia,1,25
scenereadingwriting,1,824
scenereadingwriting_chapmarker,1,2
scenereadingwriting_cryptonym,1,2
scenereadingwriting_m,1,9
scenereadingwriting_monologue,3,160
scenereadingwriting_quotedtext,1,399
sententia,5,145
sententia_quotedlit,2,24
thoughtsummary,1,96
trigger,1,12
