tag,tag_count,word_count
totaldoctagswords,427,13861
arrivaldeparture,10,44
authorwe,1,1
blend,6,39
chapmarker,7,14
chaptitle,7,14
characterdictiion,1,6
chnameintro,4,10
cryptonym,1,1
dia,25,433
dia_diamparenthesis,1,1
dia_i,6,9
diainset1p,4,591
diainset1p_diam,1,38
diainset1p_diaq,1,39
diainset1p_i,2,2
diainset1p_m,6,19
diam,114,3607
diam_authorwe,1,1
diam_diam,2,46
diam_i,11,17
diam_m,125,575
diam_quotedlit,3,92
diamparenthesis,1,1
diaq,35,978
diaq_i,4,4
diaq_m,1,8
exclamation,3,51
fid,3,166
fid_i,2,2
fidambig,1,19
fidambig_exclamation,1,19
i,34,43
m,132,617
m_authorwe,1,1
monologue,1,87
monologue_m,2,24
monologuethought,1,27
monologuethought_m,1,2
quotedlit,8,246
quotedtext,2,2449
quotedtext_cryptonym,1,1
quotedtext_diam,7,391
quotedtext_diaq,2,10
quotedtext_i,8,8
quotedtext_m,8,32
quotedtext_quotedlit,3,93
quotedtext_reportedspeechquotes,1,32
quotedtext_scenedia,1,605
quotedtext_writtennarrative1p,1,2286
quotesother,1,4
reportedspeechquotes,4,70
sceneaction,3,3550
sceneaction_authorwe,1,1
sceneaction_chnameintro,2,5
sceneaction_dia,2,30
sceneaction_diainset1p,2,313
sceneaction_diam,33,881
sceneaction_diaq,12,190
sceneaction_exclamation,1,5
sceneaction_i,7,7
sceneaction_m,38,191
sceneaction_monologue,1,87
sceneaction_reportedspeechquotes,2,8
sceneaction_trigger,1,4
sceneconscioiusness,1,260
sceneconscioiusness_fid,1,99
sceneconsciousness,1,206
sceneconsciousness_fid,2,67
sceneconsciousness_i,2,2
scenedia,6,6802
scenedia_arrivaldeparture,9,37
scenedia_blend,6,39
scenedia_chapmarker,1,2
scenedia_chaptitle,1,2
scenedia_characterdictiion,1,6
scenedia_chnameintro,2,5
scenedia_dia,23,403
scenedia_diainset1p,2,278
scenedia_diam,79,2689
scenedia_diamparenthesis,1,1
scenedia_diaq,23,788
scenedia_i,21,30
scenedia_m,92,421
scenedia_monologuethought,1,27
scenedia_quotedlit,4,117
scenedia_reportedspeechquotes,1,30
scenedia_speechimangined,1,8
scenedia_trigger,3,14
scenediaquasi,1,246
scenediaquasi_diam,2,37
scenediaquasi_m,2,5
scenediaquasi_quotesother,1,4
scenequasi,1,386
scenequasi_arrivaldeparture,1,7
scenequasi_quotedlit,1,36
scenereadingwriting,1,2783
scenereadingwriting_chapmarker,2,4
scenereadingwriting_chaptitle,2,4
scenereadingwriting_cryptonym,1,1
scenereadingwriting_diam,7,391
scenereadingwriting_diaq,2,10
scenereadingwriting_exclamation,2,46
scenereadingwriting_fidambig,1,19
scenereadingwriting_i,8,8
scenereadingwriting_m,8,32
scenereadingwriting_quotedlit,3,93
scenereadingwriting_quotedtext,2,2449
scenereadingwriting_reportedspeechquotes,1,32
scenereadingwriting_scenedia,1,605
scenereadingwriting_trigger,1,8
scenereadingwriting_writtennarrative1p,1,2286
speechimangined,1,8
trigger,5,26
writtennarrative1p,1,2286
writtennarrative1p_cryptonym,1,1
writtennarrative1p_diam,7,391
writtennarrative1p_diaq,2,10
writtennarrative1p_i,6,6
writtennarrative1p_m,8,32
writtennarrative1p_quotedlit,3,93
writtennarrative1p_reportedspeechquotes,1,32
writtennarrative1p_scenedia,1,605
