tag,tag_count,word_count
totaldoctagswords,374,11261
apostrophe,1,48
apostrophe_i,2,2
authorwe,23,44
authorwe_i,21,21
chapmarker,7,14
chaptitle,7,34
characterdiction,1,3
chportrait,2,1197
chportrait_doxaquotes,1,4
chportrait_fidambig,1,33
chportrait_i,22,36
cryptonym,2,2
dia,1,16
diam,7,1262
diam_cryptonym,2,2
diam_i,26,35
diam_m,10,60
diaq,4,58
diaq_i,3,3
doxaitalics,1,3
doxaitalics_i,1,3
doxaquotes,3,12
exclamation,1,154
exclamation_authorwe,1,2
exclamation_i,6,6
fid,1,91
fid_i,1,2
fidambig,2,76
fidambig_i,1,2
fiditalics,2,2
fiditalics_i,2,2
i,281,321
m,10,60
m_i,6,8
monologuethought,1,69
monologuethought_i,1,1
reader,10,27
reader_i,1,1
sceneaction,2,4783
sceneaction_authorwe,7,13
sceneaction_cryptonym,2,2
sceneaction_dia,1,16
sceneaction_diam,7,1262
sceneaction_diaq,3,41
sceneaction_fid,1,91
sceneaction_i,125,146
sceneaction_m,10,60
sceneaction_monologuethought,1,69
sceneaction_reader,1,7
sceneaction_trigger,1,1
scenequasi,3,1296
scenequasi_authorwe,5,10
scenequasi_diaq,1,17
scenequasi_doxaitalics,1,3
scenequasi_doxaquotes,1,6
scenequasi_i,37,40
scenequasi_reader,9,20
scenequasi_sententia,1,11
sententia,1,11
trigger,1,1
