tag,tag_count,word_count
totaldoctagswords,154,12530
authori,12,281
authori_i,1,1
authori_reader,1,2
authorialobservation,3,403
authorialobservation_i,1,1
authorialobservation_quotedlit,1,5
authorialobservation_rhetoricalq,3,23
authorialobservation_sententia,1,32
authorwe,1,11
blend,2,6
chapmarker,16,32
characterdiction,1,4
chintrononame,1,6
chnameintro,4,4
chproblem,1,3
cryptonym,1,1
dia,3,57
diainset1p,1,460
diainset1p_m,2,26
diam,9,307
diam_m,12,100
diaq,3,137
diaq_cryptonym,1,1
doxaquotes,1,6
exclamation,13,70
exclamation_fid,1,2
exclamation_i,2,2
fid,7,69
fid_exclamation,1,4
fidambig,5,85
i,12,14
m,15,128
metaphor,2,23
monologue,2,13
monologuethought,2,41
quotedlit,5,29
quotedtext,1,69
quotedtext_m,1,2
reader,1,2
reportedspeechquotes,3,95
rhetoricalq,4,33
sceneaction,1,313
sceneaction_monologue,1,5
scenedia,2,1540
scenedia_blend,1,5
scenedia_characterdiction,1,4
scenedia_chnameintro,1,1
scenedia_cryptonym,1,1
scenedia_dia,3,57
scenedia_diainset1p,1,460
scenedia_diam,6,225
scenedia_diaq,3,137
scenedia_fidambig,1,5
scenedia_m,10,93
scenedia_quotedlit,1,10
scenedia_reportedspeechquotes,1,42
scenedia_trigger,1,2
sceneiterative,2,302
sceneiterative_fidambig,1,21
scenequasi,7,1671
scenequasi_authori,1,5
scenequasi_blend,1,1
scenequasi_diam,3,82
scenequasi_exclamation,1,2
scenequasi_fid,4,38
scenequasi_fidambig,2,52
scenequasi_m,5,35
scenequasi_monologue,1,8
scenequasi_monologuethought,1,23
scenequasi_quotedtext,1,69
scenequasi_reportedspeechquotes,1,41
scenequasi_trigger,1,2
sententia,8,218
sententia_authori,1,1
sententia_exclamation,3,23
speechinsert,1,24
trigger,2,4
