tag,tag_count,word_count
totaldoctagswords,151,12667
authori,5,105
authori_i,1,1
authoriali,7,177
authoriali_reader,1,2
authorialobservation,3,406
authorialobservation_i,1,1
authorialobservation_quotedlit,1,5
authorialobservation_rhetoricalq,3,23
authorialobservation_sententia,1,32
authorialwe,1,11
blend,2,6
chapmarker,14,28
characterdiction,1,4
chintrononame,1,6
chnameintro,4,4
chproblem,1,3
cryptonym,1,1
dia,3,57
diainset1p,1,464
diainset1p_m,2,26
diam,9,309
diam_m,12,101
diaq,3,141
diaq_cryptonym,1,1
doxaquotes,1,6
exclamation,12,60
exclamation_fid,1,2
exclamation_i,1,1
fid,7,69
fid_exclamation,1,4
fidambig,5,86
i,12,14
m,15,129
metaphor,2,23
monologue,2,13
monologuethought,2,41
quotedlit,5,29
quotedtext,1,70
quotedtext_m,1,2
reader,1,2
reportedspeechquotes,3,95
rhetoricalq,4,33
sceneaction,1,316
sceneaction_monologue,1,5
scenedia,2,1553
scenedia_blend,1,5
scenedia_characterdiction,1,4
scenedia_chnameintro,1,1
scenedia_cryptonym,1,1
scenedia_dia,3,57
scenedia_diainset1p,1,464
scenedia_diam,6,226
scenedia_diaq,3,141
scenedia_fidambig,1,5
scenedia_m,10,93
scenedia_quotedlit,1,10
scenedia_reportedspeechquotes,1,42
scenedia_trigger,1,2
scenediaquasi,1,506
scenediaquasi_blend,1,1
scenediaquasi_diam,3,83
scenediaquasi_m,4,34
sceneiterative,2,304
sceneiterative_fidambig,1,21
scenequasi,6,1178
scenequasi_authori,1,5
scenequasi_exclamation,1,2
scenequasi_fid,4,38
scenequasi_fidambig,2,53
scenequasi_m,1,2
scenequasi_monologue,1,8
scenequasi_monologuethought,1,23
scenequasi_quotedtext,1,70
scenequasi_reportedspeechquotes,1,41
scenequasi_trigger,1,2
sentenia,1,17
sententia,7,202
sententia_authoriali,1,1
sententia_exclamation,3,23
speechinsert,1,24
trigger,2,4
