tag,tag_count,word_count
totaldoctagswords,192,12787
blend,2,10
chapmarker,6,12
dia,2,59
diainset1p,13,2237
diainset1p_i,1,1
diainset1p_m,11,32
diainsetinterruptiondia,9,362
diainsetinterruptiondia_i,1,1
diainsetinterruptiondia_m,9,22
diam,56,3039
diam_m,61,365
exclamation,1,20
graft,1,1
i,2,2
m,87,435
m_i,1,1
metaphor,2,11
monologue,5,217
monologue_m,5,14
monologuethought,1,50
monologuethought_m,1,2
sceneaction,4,10122
sceneaction_chapmarker,1,2
sceneaction_dia,1,10
sceneaction_diainset1p,2,820
sceneaction_diam,49,2732
sceneaction_exclamation,1,20
sceneaction_graft,1,1
sceneaction_m,62,354
sceneaction_metaphor,2,11
sceneaction_monologue,5,217
sceneaction_monologuethought,1,50
scenedia,1,2655
scenedia_blend,2,10
scenedia_dia,1,49
scenedia_diainset1p,11,1417
scenedia_diainsetinterruptiondia,9,362
scenedia_diam,7,307
scenedia_i,2,2
scenedia_m,25,81
