tag,tag_count,word_count
totaldoctagswords,260,11404
arrivaldeparture,1,2
blend,1,1
chapmarker,6,12
chbiointro,1,255
chbiointro_quotedlit,1,6
chnonameintro,1,2
chportrait,2,593
chportrait_quotedlit,2,29
dia,77,2421
dia_i,18,21
dia_quotedlit,1,7
diainset1p,1,644
diainset1p_dia,2,626
diainset1p_diainsetinterruptiondia,1,17
diainset1p_i,3,3
diainset1p_m,1,8
diainsetinterruptiondia,1,17
diainsetinterruptiondia_m,1,8
diam,33,639
diam_i,1,1
diam_m,30,207
diam_quotedlit,1,48
diam_trigger,1,2
diaq,16,271
exclamation,1,17
fid,3,64
fid_i,3,3
fidambig,1,13
fidambig_i,1,1
fidambig_italicsother,1,1
fidquotes,4,18
fidquotes_i,1,1
i,38,45
italicsother,5,5
italicsother_i,5,5
m,32,219
m_quotedlit,1,48
m_trigger,1,2
monologuethought,1,65
monologuethought_m,1,4
quotedlit,8,107
quotedtext,3,898
quotedtext_i,4,4
quotesother,3,7
reportedspeechquotes,1,17
sceneaction,4,3185
sceneaction_arrivaldeparture,1,2
sceneaction_dia,22,471
sceneaction_diam,14,228
sceneaction_diaq,11,135
sceneaction_fidquotes,2,14
sceneaction_i,6,7
sceneaction_italicsother,2,2
sceneaction_m,13,48
sceneaction_quotedlit,1,6
sceneaction_quotesother,3,7
sceneaction_trigger,2,5
scenedia,6,3848
scenedia_blend,1,1
scenedia_chnonameintro,1,2
scenedia_dia,55,1950
scenedia_diainset1p,1,644
scenedia_diainsetinterruptiondia,1,17
scenedia_diam,19,411
scenedia_diaq,5,136
scenedia_fidquotes,2,4
scenedia_i,22,26
scenedia_italicsother,2,2
scenedia_m,18,167
scenedia_quotedlit,2,55
scenedia_trigger,4,10
scenequasi,1,206
scenequasi_trigger,1,1
scenereadingwriting,1,760
scenereadingwriting_i,3,3
scenereadingwriting_m,1,4
scenereadingwriting_monologuethought,1,65
scenereadingwriting_quotedtext,1,470
speechinsert,1,10
trigger,7,16
