tag,tag_count,word_count
totaldoctagswords,271,11527
arrivaldeparture,1,2
blend,1,1
chapmarker,6,12
chbiointro,1,256
chbiointro_chnameintro,1,2
chbiointro_quotedlit,1,6
chnameintro,4,8
chnonameintro,1,2
chportrait,2,596
chportrait_quotedlit,2,29
descriptor,6,72
descriptorq,1,11
dia,80,2477
dia_i,18,21
dia_m,1,3
dia_quotedlit,1,7
diainset1p,1,647
diainset1p_dia,2,629
diainset1p_diainsetinterruptiondia,1,17
diainset1p_i,3,3
diainset1p_m,1,8
diainsetinterruptiondia,1,17
diainsetinterruptiondia_m,1,8
diam,31,591
diam_i,1,1
diam_m,28,200
diam_quotedlit,1,49
diam_trigger,1,2
diaq,16,278
exclamation,1,17
fid,3,64
fid_i,3,3
fidambig,1,13
fidambig_i,1,1
fidambig_italicsother,1,1
fidquotes,4,18
fidquotes_i,1,1
i,38,45
italicsother,5,5
italicsother_i,5,5
m,31,215
m_quotedlit,1,49
m_trigger,1,2
monologuethought,1,65
monologuethought_m,1,4
quotedlit,8,108
quotedtext,3,903
quotedtext_i,4,4
quotesother,3,7
reportedspeechquotes,1,17
sceneaction,4,3207
sceneaction_arrivaldeparture,1,2
sceneaction_descriptor,2,21
sceneaction_descriptorq,1,11
sceneaction_dia,23,477
sceneaction_diam,14,228
sceneaction_diaq,10,129
sceneaction_fidquotes,2,14
sceneaction_i,6,7
sceneaction_italicsother,2,2
sceneaction_m,13,48
sceneaction_quotedlit,1,6
sceneaction_quotesother,3,7
sceneaction_trigger,2,5
scenedia,6,3919
scenedia_blend,1,1
scenedia_chnonameintro,1,2
scenedia_descriptor,4,51
scenedia_dia,57,2000
scenedia_diainset1p,1,647
scenedia_diainsetinterruptiondia,1,17
scenedia_diam,17,363
scenedia_diaq,6,149
scenedia_fidquotes,2,4
scenedia_i,22,26
scenedia_italicsother,2,2
scenedia_m,17,163
scenedia_quotedlit,2,56
scenedia_trigger,4,11
sceneother,1,207
sceneother_trigger,1,1
scenereadingwriting,1,765
scenereadingwriting_i,3,3
scenereadingwriting_m,1,4
scenereadingwriting_monologuethought,1,65
scenereadingwriting_quotedtext,1,473
speechinsert,1,10
trigger,7,17
