tag,tag_count,word_count
totaldoctagswords,141,12566
apostrophe,1,143
authori,1,60
authorialobservation,1,245
authorialobservation_i,1,1
authorwe,2,28
authorwe_sententia,1,16
backstory,1,1471
backstory_chportrait,1,91
backstory_dia,1,79
backstory_diam,5,150
backstory_fid,1,38
backstory_fidquotes,1,11
backstory_m,4,28
backstory_metaphor,1,27
backstory_quotedlit,1,8
backstory_scenedia,1,762
backstory_scenequasi,1,152
backstory_sententia,1,36
backstory_trigger,1,1
book,1,2
chapmarker,2,4
chaptitle,2,3
chbiointro,1,166
chbiointro_chnameintro,1,2
chbiointro_quotedlit,1,21
chnameintro,3,7
chportrait,3,927
chportrait_chnameintro,2,5
chportrait_i,1,1
cryptonym,1,1
dia,3,126
diainsetnarrative,1,839
diainsetnarrative_i,1,1
diainsetnarrative_m,2,20
diainsetnarrative_quotesother,1,65
diam,27,957
diam_cryptonym,1,1
diam_m,26,153
diaq,4,122
doxaquotes,1,5
exclamation,1,10
fid,1,38
fidquotes,2,20
i,6,8
m,31,182
metaphor,4,66
monologue,1,53
monologue_m,1,3
monologuethought,1,114
monologuethought_m,1,4
quotedlit,4,104
quotedtext,3,658
quotesother,4,151
quotesother_i,1,1
reader,1,2
sceneaction,2,2351
sceneaction_cryptonym,1,1
sceneaction_dia,2,47
sceneaction_diam,12,445
sceneaction_diaq,3,84
sceneaction_doxaquotes,1,5
sceneaction_m,12,94
sceneaction_metaphor,2,18
sceneaction_reader,1,2
sceneaction_sententia,1,68
sceneaction_trigger,2,11
scenedia,4,3404
scenedia_authori,1,60
scenedia_dia,1,79
scenedia_diainsetnarrative,1,839
scenedia_diam,14,486
scenedia_diaq,1,38
scenedia_fid,1,38
scenedia_fidquotes,2,20
scenedia_i,1,1
scenedia_m,16,79
scenedia_metaphor,2,48
scenedia_quotedlit,1,8
scenedia_quotesother,4,151
scenedia_sententia,2,57
scenedia_trigger,2,3
scenemonologue,1,184
scenemonologue_m,1,4
scenemonologue_monologuethought,1,114
scenequasi,4,924
scenequasi_authorwe,1,27
scenequasi_diam,1,26
scenequasi_i,3,5
scenequasi_quotedlit,1,48
scenequasi_quotedtext,1,86
scenequasi_sententia,1,16
scenequasi_trigger,1,1
scenereadingwriting,1,422
scenereadingwriting_quotedtext,1,295
scenereadingwriting_trigger,1,4
sententia,7,426
sententia_metaphor,2,48
speechinsert,2,177
speechinsert_m,1,2
trigger,6,19
