tag,tag_count,word_count
totaldoctagswords,141,12701
apostrophe,1,145
authori,1,60
authorialobservation,1,247
authorialobservation_i,1,1
authorwe,2,28
authorwe_sententia,1,16
backstory,1,1482
backstory_chportrait,1,92
backstory_dia,1,80
backstory_diam,5,152
backstory_fid,1,38
backstory_fidquotes,1,12
backstory_m,4,29
backstory_metaphor,1,27
backstory_quotedlit,1,8
backstory_scenedia,1,768
backstory_scenequasi,1,153
backstory_sententia,1,36
backstory_trigger,1,1
book,1,2
chapmarker,2,4
chaptitle,2,3
chbiointro,1,168
chbiointro_chnameintro,1,2
chbiointro_quotedlit,1,21
chnameintro,3,7
chportrait,3,934
chportrait_chnameintro,2,5
chportrait_i,1,1
cryptonym,1,1
dia,3,127
diainsetnarraitve,1,846
diainsetnarraitve_i,1,1
diainsetnarraitve_m,2,20
diainsetnarraitve_quotesother,1,66
diam,27,971
diam_cryptonym,1,1
diam_m,26,156
diaq,4,124
doxaquotes,1,5
exclamation,1,10
fid,1,38
fidquotes,2,21
i,6,8
m,31,187
metaphor,4,67
monologue,1,55
monologue_m,1,5
monologuethought,1,115
monologuethought_m,1,4
quotedlit,4,105
quotedtext,3,667
quotesother,4,153
quotesother_i,1,1
reader,1,2
sceneaction,2,2373
sceneaction_cryptonym,1,1
sceneaction_dia,2,47
sceneaction_diam,12,451
sceneaction_diaq,3,84
sceneaction_doxaquotes,1,5
sceneaction_m,12,94
sceneaction_metaphor,2,19
sceneaction_reader,1,2
sceneaction_sententia,1,69
sceneaction_trigger,2,11
scenedia,4,3439
scenedia_authori,1,60
scenedia_dia,1,80
scenedia_diainsetnarraitve,1,846
scenedia_diam,14,493
scenedia_diaq,1,40
scenedia_fid,1,38
scenedia_fidquotes,2,21
scenedia_i,1,1
scenedia_m,16,82
scenedia_metaphor,2,48
scenedia_quotedlit,1,8
scenedia_quotesother,4,153
scenedia_sententia,2,57
scenedia_trigger,2,3
scenemonologue,1,187
scenemonologue_m,1,4
scenemonologue_monologuethought,1,115
scenequasi,4,931
scenequasi_authorwe,1,27
scenequasi_diam,1,27
scenequasi_i,3,5
scenequasi_quotedlit,1,48
scenequasi_quotedtext,1,87
scenequasi_sententia,1,16
scenequasi_trigger,1,1
scenereadingwriting,1,427
scenereadingwriting_quotedtext,1,298
scenereadingwriting_trigger,1,4
sententia,7,431
sententia_metaphor,2,48
speechinsert,2,178
speechinsert_m,1,2
trigger,6,19
