tag,tag_count,word_count
totaldoctagswords,329,12300
arrivaldeparture,5,33
authori,4,71
authorwe,2,2
blend,2,7
chapmarker,7,14
characterdiction,2,97
characterdiction_fid,1,32
chnameintro,5,10
chnamenointro,2,4
chportrait,2,262
chportrait_chnameintro,2,5
chportrait_i,3,6
chportrait_m,1,2
chportrait_speechinsert,1,16
description,1,201
dia,54,1126
dia_i,1,4
dia_quotedtext,6,199
diam,74,1896
diam_i,5,11
diam_m,74,412
diam_trigger,1,2
diaq,3,22
exclamation,14,112
exclamation_fidambig,1,4
fid,4,47
fid_exclamation,1,3
fidambig,6,114
fidambig_exclamation,3,43
fiditalics,1,4
fiditalics_i,1,4
fidquotes,8,97
fidquotes_exclamation,2,3
i,14,33
m,80,445
m_chnamenointro,1,1
m_i,1,1
m_trigger,1,2
monologue,2,128
monologue_m,2,21
monologuethought,2,37
monologuethought_m,2,8
quotedtext,6,199
reader,2,4
reportedspeechquotes,2,6
rhetoricalq,2,22
rhetoricalq_authorwe,1,1
rhetoricalq_reader,1,1
sceneaction,4,3869
sceneaction_arrivaldeparture,1,5
sceneaction_authori,1,2
sceneaction_blend,2,7
sceneaction_characterdiction,1,96
sceneaction_chnamenointro,1,3
sceneaction_dia,27,474
sceneaction_diam,30,613
sceneaction_diaq,1,4
sceneaction_exclamation,4,26
sceneaction_fid,2,35
sceneaction_fidambig,2,67
sceneaction_fidquotes,7,82
sceneaction_i,7,13
sceneaction_m,32,206
sceneaction_monologue,2,128
sceneaction_monologuethought,1,13
sceneaction_quotedtext,6,199
sceneaction_reader,1,1
sceneaction_rhetoricalq,1,8
scenedia,6,3012
scenedia_arrivaldeparture,4,28
scenedia_chnameintro,2,3
scenedia_chnamenointro,1,1
scenedia_dia,27,652
scenedia_diam,41,1214
scenedia_i,3,10
scenedia_m,43,215
scenedia_monologuethought,1,24
scenedia_reportedspeechquotes,1,3
scenedia_trigger,2,3
sceneperception,1,139
sceneperception_characterdiction,1,1
scenequasi,7,1038
scenequasi_diam,3,69
scenequasi_diaq,2,18
scenequasi_exclamation,2,13
scenequasi_fid,2,12
scenequasi_fidquotes,1,15
scenequasi_m,4,22
scenequasi_reportedspeechquotes,1,3
scenequasi_trigger,1,2
sententia,1,7
speechinsert,1,16
speechinsert_m,1,2
trigger,3,5
