tag,tag_count,word_count
totaldoctagswords,329,12416
arrivaldeparture,5,33
authori,4,71
authorwe,2,2
blend,2,7
chapmarker,7,14
characterdiction,2,98
characterdiction_fid,1,32
chnameintro,5,10
chnamenointro,2,4
chportrait,2,264
chportrait_chnameintro,2,5
chportrait_i,3,6
chportrait_m,1,2
chportrait_speechinsert,1,16
cutaway,3,22
description,1,202
dia,50,1089
dia_i,1,4
dia_quotedtext,6,199
diacutaway,3,92
diacutaway_chnamenointro,1,1
diacutaway_cutaway,3,22
diacutaway_m,3,8
diam,73,1875
diam_i,5,11
diam_m,71,403
diam_trigger,1,2
diaq,3,22
exclamation,14,113
exclamation_fidambig,1,5
fid,4,47
fid_exclamation,1,3
fidambig,6,116
fidambig_exclamation,3,43
fiditalics,1,4
fiditalics_i,1,4
fidquotes,8,99
fidquotes_exclamation,2,3
i,14,33
m,79,445
m_chnamenointro,1,1
m_i,1,1
m_trigger,1,2
monologue,2,129
monologue_m,2,22
monologuethought,2,39
monologuethought_m,2,10
quotedtext,6,199
reader,2,4
reportedspeechquotes,2,6
rhetoricalq,1,8
rhetoricalq_reader,1,1
rhetoricalquestion,1,14
rhetoricalquestion_authorwe,1,1
sceneaction,4,3899
sceneaction_arrivaldeparture,1,5
sceneaction_authori,1,2
sceneaction_blend,2,7
sceneaction_characterdiction,1,97
sceneaction_chnamenointro,1,3
sceneaction_cutaway,1,3
sceneaction_dia,25,465
sceneaction_diacutaway,1,15
sceneaction_diam,30,618
sceneaction_diaq,1,4
sceneaction_exclamation,4,26
sceneaction_fid,2,35
sceneaction_fidambig,2,68
sceneaction_fidquotes,7,82
sceneaction_i,7,13
sceneaction_m,31,204
sceneaction_monologue,2,129
sceneaction_monologuethought,1,13
sceneaction_quotedtext,6,199
sceneaction_reader,1,1
sceneaction_rhetoricalq,1,8
scenedia,6,3035
scenedia_arrivaldeparture,4,28
scenedia_chnameintro,2,3
scenedia_chnamenointro,1,1
scenedia_cutaway,2,19
scenedia_dia,25,624
scenedia_diacutaway,2,77
scenedia_diam,40,1188
scenedia_i,3,10
scenedia_m,43,217
scenedia_monologuethought,1,26
scenedia_reportedspeechquotes,1,3
scenedia_trigger,2,3
sceneperception,1,141
sceneperception_characterdiction,1,1
scenequasi,5,784
scenequasi_diam,1,31
scenequasi_exclamation,2,13
scenequasi_fid,2,12
scenequasi_fidquotes,1,17
scenequasi_m,2,14
scenequasidia,2,265
scenequasidia_diam,2,38
scenequasidia_diaq,2,18
scenequasidia_m,2,8
scenequasidia_reportedspeechquotes,1,3
scenequasidia_trigger,1,2
sententia,1,7
speechinsert,1,16
speechinsert_m,1,2
trigger,3,5
