tag,tag_count,word_count
totaldoctagswords,352,13185
arrivaldeparture,4,24
authori,5,13
authorwe,8,17
blend,2,18
book,2,4
chapepigraph,4,87
chapmarker,4,8
cryptonym,2,2
dia,21,617
dia_m,1,9
dia_quotedlit,1,15
diam,120,4092
diam_i,2,2
diam_m,125,518
diaq,11,358
exclamation,1,17
fidambig,1,39
graft,2,6
i,5,9
m,130,547
monologuethought,2,114
monologuethought_m,2,6
quotedlit,3,63
quotedtext,2,165
reader,4,8
reportedspeechquotes,1,6
rhetoricalq,1,4
sceneaction,2,2347
sceneaction_authorwe,1,2
sceneaction_dia,7,303
sceneaction_diam,24,817
sceneaction_diaq,3,132
sceneaction_i,1,1
sceneaction_m,26,103
scenedia,4,5871
scenedia_arrivaldeparture,4,24
scenedia_authori,2,4
scenedia_authorwe,3,7
scenedia_blend,2,18
scenedia_dia,12,268
scenedia_diam,85,2877
scenedia_diaq,6,188
scenedia_graft,1,3
scenedia_i,3,6
scenedia_m,89,368
scenedia_monologuethought,1,79
scenedia_quotedlit,2,34
scenedia_reader,2,4
scenedia_reportedspeechquotes,1,6
scenefragment,3,657
scenefragment_cryptonym,1,1
scenefragment_dia,2,46
scenefragment_diam,9,301
scenefragment_diaq,1,13
scenefragment_i,1,2
scenefragment_m,9,43
scenequasi,3,440
scenequasi_diam,2,97
scenequasi_diaq,1,25
scenequasi_graft,1,3
scenequasi_m,3,16
scenequasi_quotedtext,1,124
speechhabitual,3,82
speechinsert,2,255
speechinsert_m,2,14
