tag,tag_count,word_count
totaldoctagswords,441,13721
arrivaldeparture,16,74
authorwe,3,8
blend,2,5
chapmarker,2,4
chnameexternal,1,101
chnameexternal_i,1,1
chnameintro,1,222
chnonameexternal,1,75
chnonameexternal_departurearrival,1,6
departurearrival,1,6
description,1,175
descriptor,4,45
descriptorq,1,5
dia,1,95
diam,168,8959
diam_arrivaldeparture,1,7
diam_descriptor,4,45
diam_descriptorq,1,5
diam_footnote,4,176
diam_i,29,83
diam_m,176,596
diam_quotedlit,2,50
diam_quotedtext,1,97
diaq,11,599
diaq_i,4,22
footnote,5,195
footnote_i,1,2
i,35,107
m,176,596
m_arrivaldeparture,1,7
quotedlit,2,50
quotedlit_i,1,2
quotedtext,1,97
quotedtext_i,2,4
reader,1,1
scenedia,2,12295
scenedia_arrivaldeparture,16,74
scenedia_authorwe,1,6
scenedia_blend,2,5
scenedia_chapmarker,1,2
scenedia_chnameexternal,1,101
scenedia_chnameintro,1,222
scenedia_chnonameexternal,1,75
scenedia_departurearrival,1,6
scenedia_descriptor,4,45
scenedia_descriptorq,1,5
scenedia_dia,1,95
scenedia_diam,168,8959
scenedia_diaq,11,599
scenedia_footnote,5,195
scenedia_i,34,106
scenedia_m,176,596
scenedia_quotedlit,2,50
scenedia_quotedtext,1,97
scenedia_speechimagined,2,12
scenedia_trigger,1,2
senteniacharacter,1,11
sententia,2,76
speechimagined,2,12
trigger,1,2
