tag,tag_count,word_count
totaldoctagswords,434,13434
arrivaldeparture,17,80
authorwe,3,8
blend,2,5
chapmarker,2,4
chnameexternal,1,100
chnameexternal_i,1,1
chnameintro,1,221
chnonameexternal,1,75
chnonameexternal_arrivaldeparture,1,6
description,1,174
dia,1,95
diam,168,8734
diam_arrivaldeparture,1,7
diam_i,27,80
diam_m,181,643
diam_quotedlit,2,48
diam_quotedtext,1,97
diaq,11,596
diaq_i,4,22
i,33,104
m,181,643
m_arrivaldeparture,1,7
quotedlit,2,48
quotedlit_i,1,2
quotedtext,1,97
quotedtext_i,2,4
reader,1,1
scenedia,2,12020
scenedia_arrivaldeparture,17,80
scenedia_authorwe,1,6
scenedia_blend,2,5
scenedia_chapmarker,1,2
scenedia_chnameexternal,1,100
scenedia_chnameintro,1,221
scenedia_chnonameexternal,1,75
scenedia_dia,1,95
scenedia_diam,168,8734
scenedia_diaq,11,596
scenedia_i,32,103
scenedia_m,181,643
scenedia_quotedlit,2,48
scenedia_quotedtext,1,97
scenedia_speechimagined,2,12
scenedia_trigger,1,2
sententia,2,76
sententiacharacter,1,11
speechimagined,2,12
trigger,1,2
