tag,tag_count,word_count
totaldoctagswords,219,13594
authorwe,5,9
blend,3,13
chapepigraph,2,119
chapmarker,2,4
description,1,51
dia,12,537
diam,40,1890
diam_i,2,2
diam_m,41,195
diaq,8,198
diaq_i,2,2
doxaquotes,5,21
exclamation,5,116
exclamation_authorwe,1,2
fid,5,55
fidambig,3,50
fidquotes,22,292
fidquotes_m,2,6
i,5,5
m,44,212
metaphor,15,126
monologuethought,2,105
monologuethought_m,1,11
quotedlit,5,95
reader,1,1
sceneaction,5,5721
sceneaction_authorwe,3,6
sceneaction_blend,2,9
sceneaction_dia,2,52
sceneaction_diam,20,902
sceneaction_diaq,2,49
sceneaction_exclamation,4,112
sceneaction_fid,2,15
sceneaction_fidambig,2,45
sceneaction_fidquotes,14,227
sceneaction_i,5,5
sceneaction_m,24,144
sceneaction_metaphor,5,35
sceneaction_monologuethought,1,54
sceneaction_quotedlit,4,88
sceneaction_sententia,4,269
sceneaction_sententiacharacter,1,23
sceneaction_speechimagined,1,10
sceneaction_trigger,1,4
scenedia,3,1793
scenedia_blend,1,4
scenedia_dia,6,318
scenedia_diam,16,722
scenedia_diaq,3,119
scenedia_fidquotes,1,30
scenedia_m,16,53
scenedia_trigger,3,7
sceneiterative,1,160
sceneiterative_authorwe,1,1
sceneiterative_metaphor,1,6
sceneperception,3,579
sceneperception_diam,1,11
sceneperception_diaq,1,3
sceneperception_m,1,3
sceneperception_metaphor,3,16
scenequasi,6,1725
scenequasi_dia,4,167
scenequasi_diam,3,255
scenequasi_diaq,2,27
scenequasi_exclamation,1,4
scenequasi_fid,1,30
scenequasi_fidquotes,2,20
scenequasi_m,3,12
scenequasi_metaphor,2,15
scenequasi_speechimagined,1,4
scenequasi_trigger,2,7
sententia,6,375
sententia_metaphor,1,14
sententiacharacter,1,23
speechimagined,2,14
speechimagined_quotedlit,1,10
thoughtsummary,1,203
thoughtsummary_fid,1,4
thoughtsummary_metaphor,1,21
thoughtsummary_monologuethought,1,51
trigger,6,18
