tag,tag_count,word_count
totaldoctagswords,238,13695
authorwe,5,9
blend,5,21
chapepigraph,2,119
chapmarker,2,4
chnameintro,17,28
cutaway,1,15
description,1,52
descriptorq,1,4
dia,12,540
diam,39,1916
diam_chnameintro,1,2
diam_cutaway,1,15
diam_descriptorq,1,4
diam_i,2,2
diam_m,40,193
diaq,8,198
diaq_i,2,2
doxaquote,1,8
doxaquotes,4,13
exclamation,5,116
exclamation_authorwe,1,2
fid,5,55
fidambig,3,50
fidquotes,22,293
fidquotes_m,2,6
i,5,5
m,43,210
m_chnameintro,1,2
mataphor,2,19
metaphor,13,107
monloguethought,1,54
monloguethought_m,1,11
monologuethought,1,51
quotedlit,5,95
reader,1,1
sceneaction,4,4415
sceneaction_authorwe,2,4
sceneaction_blend,2,9
sceneaction_cutaway,1,15
sceneaction_descriptorq,1,4
sceneaction_dia,2,52
sceneaction_diam,18,830
sceneaction_diaq,2,49
sceneaction_exclamation,1,32
sceneaction_fid,2,15
sceneaction_fidambig,1,21
sceneaction_fidquotes,11,214
sceneaction_i,4,4
sceneaction_m,22,128
sceneaction_mataphor,2,19
sceneaction_metaphor,3,16
sceneaction_monloguethought,1,54
sceneaction_quotedlit,3,79
sceneaction_sententia,2,95
sceneaction_speechimagined,1,10
sceneaction_trigger,1,4
scenedia,3,1807
scenedia_blend,1,4
scenedia_chnameintro,1,2
scenedia_dia,6,321
scenedia_diam,16,725
scenedia_diaq,3,119
scenedia_fidquotes,1,30
scenedia_m,16,53
scenedia_trigger,3,7
scenediaquasi,4,691
scenediaquasi_dia,4,167
scenediaquasi_diam,3,256
scenediaquasi_diaq,1,7
scenediaquasi_fidquotes,1,13
scenediaquasi_m,3,12
scenediaquasi_metaphor,1,11
scenediaquasi_speechimagined,1,4
scenediaquasi_trigger,1,3
sceneiterative,1,161
sceneiterative_authorwe,1,1
sceneiterative_metaphor,1,6
sceneother,1,1736
sceneother_authorwe,1,2
sceneother_blend,2,8
sceneother_chnameintro,16,26
sceneother_diam,1,94
sceneother_doxaquotes,2,5
sceneother_exclamation,3,80
sceneother_fidambig,1,24
sceneother_fidquotes,3,13
sceneother_i,1,1
sceneother_m,1,14
sceneother_metaphor,1,6
sceneother_quotedlit,1,9
sceneother_reader,1,1
sceneother_sententia,2,176
sceneother_sententiacharacter,1,23
sceneperception,3,582
sceneperception_diam,1,11
sceneperception_diaq,1,3
sceneperception_m,1,3
sceneperception_metaphor,3,16
scenequasi,2,1045
scenequasi_diaq,1,20
scenequasi_exclamation,1,4
scenequasi_fid,1,30
scenequasi_fidquotes,1,8
scenequasi_metaphor,1,4
scenequasi_trigger,1,4
sententia,6,378
sententia_metaphor,1,14
sententiacharacter,1,23
speechimagined,2,14
speechimagined_quotedlit,1,10
thoughtsummary,1,204
thoughtsummary_fid,1,4
thoughtsummary_metaphor,1,21
thoughtsummary_monologuethought,1,51
trigger,6,18
