tag,tag_count,word_count
totaldoctagswords,263,11984
chapepigraph,2,81
chapmarker,2,4
chnonameexternal,2,4
chnonameintro,21,63
chnonameminor,2,4
chphoto,1,136
dia,2,172
diainset1p,1,866
diainset1p_diaq,3,124
diainset1p_m,1,2
diam,95,5689
diam_chnonameintro,21,63
diam_chnonameminor,2,4
diam_m,94,458
diaq,22,1245
diaq_m,1,3
fid,1,31
fid_metaphor,1,31
m,98,468
m_chnonameintro,21,63
m_chnonameminor,2,4
metaphor,7,65
monologue,3,257
monologue_m,2,5
quotedtext,1,193
sceneaction,1,5884
sceneaction_chnonameexternal,2,4
sceneaction_chnonameintro,21,63
sceneaction_chphoto,1,136
sceneaction_diam,50,2511
sceneaction_diaq,5,562
sceneaction_m,53,297
sceneaction_metaphor,6,34
sceneaction_monologue,3,257
sceneaction_trigger,1,1
scenedia,1,6015
scenedia_chnonameminor,2,4
scenedia_dia,2,172
scenedia_diainset1p,1,866
scenedia_diam,45,3178
scenedia_diaq,17,683
scenedia_fid,1,31
scenedia_m,45,171
scenedia_metaphor,1,31
scenedia_quotedtext,1,193
trigger,1,1
