tag,tag_count,word_count
totaldoctagswords,264,12059
chanonameintro,1,2
chapepigraph,2,81
chapmarker,2,4
chnonameexternal,2,4
chnonameintro,20,61
chnonameminor,2,4
chphoto,1,136
descriptor,1,50
dia,2,174
diainset1p,1,871
diainset1p_diaq,3,126
diainset1p_m,1,2
diam,95,5711
diam_chanonameintro,1,2
diam_chnonameintro,20,61
diam_chnonameminor,2,4
diam_m,94,458
diaq,22,1251
diaq_descriptor,1,50
diaq_m,1,3
fid,1,31
fid_metaphor,1,31
m,98,468
m_chanonameintro,1,2
m_chnonameintro,20,61
m_chnonameminor,2,4
metaphor,7,65
monologue,3,260
monologue_m,2,5
quotedtext,1,194
sceneaction,1,5912
sceneaction_chanonameintro,1,2
sceneaction_chnonameexternal,2,4
sceneaction_chnonameintro,20,61
sceneaction_chphoto,1,136
sceneaction_descriptor,1,50
sceneaction_diam,50,2522
sceneaction_diaq,5,563
sceneaction_m,53,297
sceneaction_metaphor,6,34
sceneaction_monologue,3,260
sceneaction_trigger,1,1
scenedia,1,6042
scenedia_chnonameminor,2,4
scenedia_dia,2,174
scenedia_diainset1p,1,871
scenedia_diam,45,3189
scenedia_diaq,17,688
scenedia_fid,1,31
scenedia_m,45,171
scenedia_metaphor,1,31
scenedia_quotedtext,1,194
trigger,1,1
