tag,tag_count,word_count
totaldoctagswords,438,14550
apostrophe,1,63
arrivaldeparture,6,30
authorwe,1,1
backstory,1,192
blend,3,14
chapmarker,9,18
descriptor,1,8
dia,25,990
dia_descriptor,1,8
dia_i,5,20
dia_quotedlit,1,32
dia_quotedtext,1,26
diam,137,4854
diam_arrivaldeparture,2,11
diam_graft,1,2
diam_i,15,35
diam_m,151,926
diam_quotedlit,8,304
diaq,14,588
diaq_i,1,2
diaq_m,1,10
diaq_quotedlit,1,31
exclamation,1,11
graft,3,5
i,32,70
m,152,936
m_arrivaldeparture,2,11
quotedlit,15,1244
quotedlit_i,2,16
quotedlit_m,1,4
quotedtext,3,2545
quotedtext_i,9,11
sceneaction,5,4277
sceneaction_backstory,1,192
sceneaction_blend,1,6
sceneaction_chapmarker,1,2
sceneaction_dia,7,246
sceneaction_diam,55,1366
sceneaction_diaq,3,126
sceneaction_i,4,4
sceneaction_m,58,358
sceneaction_quotedlit,2,492
sceneaction_song,1,67
sceneaction_trigger,1,2
scenedia,6,6505
scenedia_arrivaldeparture,5,26
scenedia_blend,2,8
scenedia_chapmarker,1,2
scenedia_descriptor,1,8
scenedia_dia,14,454
scenedia_diam,54,2371
scenedia_diaq,6,249
scenedia_exclamation,1,11
scenedia_graft,1,2
scenedia_i,22,33
scenedia_m,63,372
scenedia_quotedlit,8,300
scenedia_quotedtext,2,2527
scenedia_trigger,1,2
scenedia_writtentextread,1,2501
scenefragment,11,2372
scenefragment_arrivaldeparture,1,4
scenefragment_dia,4,290
scenefragment_diam,25,985
scenefragment_diaq,4,201
scenefragment_graft,2,3
scenefragment_i,3,30
scenefragment_m,28,194
scenefragment_quotedlit,3,83
scenefragment_quotedtext,1,18
scenefragment_trigger,1,2
sceneiterative,1,516
sceneiterative_apostrophe,1,63
sceneiterative_diam,1,53
sceneiterative_i,3,3
sceneiterative_m,1,5
sceneiterative_quotedlit,1,313
sceneiterative_writtentextread,1,313
sceneperception,1,97
scenequasi,2,340
scenequasi_diam,2,79
scenequasi_diaq,1,12
scenequasi_m,2,7
scenequasi_trigger,1,2
scenequasi_writentextread,1,110
song,1,67
trigger,4,8
writentextread,1,110
writtentextread,2,2814
writtentextread_i,9,11
writtentextread_quotedlit,1,313
writtentextread_quotedtext,1,2501
