tag,tag_count,word_count
totaldoctagswords,618,12921
arrivaldeparture,6,26
chapmarker,4,8
characterdiction,3,22
dia,321,7501
dia_i,38,90
dia_quotedlit,7,74
diam,104,3197
diam_arrivaldeparture,1,5
diam_characterdiction,1,4
diam_i,6,7
diam_m,107,798
diam_quotedlit,1,25
diaq,11,271
diaq_i,3,5
doxaquotes,1,5
i,48,105
m,107,798
m_arrivaldeparture,1,5
m_characterdiction,1,4
quotedlit,8,99
quotesother,1,1
scenedia,4,12913
scenedia_arrivaldeparture,6,26
scenedia_characterdiction,3,22
scenedia_dia,321,7501
scenedia_diam,104,3197
scenedia_diaq,11,271
scenedia_doxaquotes,1,5
scenedia_i,48,105
scenedia_m,107,798
scenedia_quotedlit,8,99
scenedia_quotesother,1,1
