tag,tag_count,word_count
totaldoctagswords,280,12876
arrivaldeparture,6,28
backstory,1,194
blend,2,9
chapmarker,3,6
chnameexternal,2,201
chnameexternal_quotedlit,1,8
chnameintro,3,7
chportrait,1,335
chportrait_chnameintro,1,1
cutaway,2,5
descriptor,3,28
descriptorq,3,35
dia,12,550
dia_descriptor,1,7
dia_descriptorq,1,3
diacutaway,2,29
diacutaway_cutaway,2,5
diainset1p,5,1783
diainset1p_diainset1p,1,236
diainset1p_diainsetinterruptiondia,1,11
diainset1p_diam,1,61
diainset1p_m,7,21
diainset1p_scenequasi,2,281
diainsetinterruptiondia,1,11
diainsetinterruptiondia_m,1,2
dialogueother,1,3
diam,82,2364
diam_chnameintro,1,1
diam_descriptor,1,18
diam_m,83,527
diaother,2,25
diaother_m,1,3
diaq,36,1198
diaq_descriptor,1,3
diaq_descriptorq,2,32
diaq_m,2,14
exclamation,1,33
fidambig,1,3
i,2,2
m,92,563
m_chnameintro,1,1
quotedlit,2,16
quotesdoxa,1,7
quotesother,1,50
sceneaction,2,4007
sceneaction_arrivaldeparture,1,4
sceneaction_chapmarker,1,2
sceneaction_chnameexternal,2,201
sceneaction_chnameintro,3,7
sceneaction_chportrait,1,335
sceneaction_dia,1,33
sceneaction_diam,24,446
sceneaction_diaother,1,8
sceneaction_diaq,2,41
sceneaction_i,2,2
sceneaction_m,26,205
sceneaction_quotedlit,2,16
sceneaction_quotesdoxa,1,7
sceneaction_quotesother,1,50
sceneaction_trigger,1,1
scenedia,3,8135
scenedia_arrivaldeparture,5,24
scenedia_backstory,1,194
scenedia_blend,2,9
scenedia_cutaway,2,5
scenedia_descriptor,3,28
scenedia_descriptorq,3,35
scenedia_dia,11,517
scenedia_diacutaway,2,29
scenedia_diainset1p,5,1783
scenedia_diainsetinterruptiondia,1,11
scenedia_dialogueother,1,3
scenedia_diam,58,1918
scenedia_diaother,1,17
scenedia_diaq,34,1157
scenedia_exclamation,1,33
scenedia_m,65,356
scenedia_scenequasi,2,281
scenedia_sententia,2,44
scenedia_trigger,1,7
scenequasi,3,404
scenequasi_fidambig,1,3
sententia,2,44
speechinsert,1,34
speechinsert_m,1,2
trigger,2,8
