tag,tag_count,word_count
totaldoctagswords,280,12999
arrivaldeparture,5,22
artrivaldeparture,1,6
backstory,1,195
blend,2,9
chapmarker,3,6
chnameexternal,2,203
chnameexternal_quotedlit,1,8
chnameintro,3,7
chportrait,1,337
chportrait_chnameintro,1,1
cutaway,2,5
descriptor,3,28
descriptorq,3,35
dia,12,556
dia_descriptor,1,7
dia_descriptorq,1,3
diacutaway,2,29
diacutaway_cutaway,2,5
diainset1p,5,1798
diainset1p_diainset1p,1,239
diainset1p_diainsetinterruptiondia,1,11
diainset1p_diam,1,62
diainset1p_m,7,21
diainset1p_scenequasi,2,283
diainsetinterruptiondia,1,11
diainsetinterruptiondia_m,1,2
dialogueother,1,3
diam,82,2384
diam_chnameintro,1,1
diam_descriptor,1,18
diam_m,83,535
diaother,2,25
diaother_m,1,3
diaq,36,1204
diaq_descriptor,1,3
diaq_descriptorq,2,32
diaq_m,2,14
exclamation,1,33
fidambig,1,3
i,2,2
m,92,571
m_chnameintro,1,1
quotedlit,2,16
quotesdoxa,1,7
quotesother,1,50
sceneaction,2,4041
sceneaction_arrivaldeparture,1,4
sceneaction_chapmarker,1,2
sceneaction_chnameexternal,2,203
sceneaction_chnameintro,3,7
sceneaction_chportrait,1,337
sceneaction_dia,1,33
sceneaction_diam,24,450
sceneaction_diaother,1,8
sceneaction_diaq,2,41
sceneaction_i,2,2
sceneaction_m,26,208
sceneaction_quotedlit,2,16
sceneaction_quotesdoxa,1,7
sceneaction_quotesother,1,50
sceneaction_trigger,1,1
scenedia,3,8195
scenedia_arrivaldeparture,4,18
scenedia_artrivaldeparture,1,6
scenedia_backstory,1,195
scenedia_blend,2,9
scenedia_cutaway,2,5
scenedia_descriptor,3,28
scenedia_descriptorq,3,35
scenedia_dia,11,523
scenedia_diacutaway,2,29
scenedia_diainset1p,5,1798
scenedia_diainsetinterruptiondia,1,11
scenedia_dialogueother,1,3
scenedia_diam,58,1934
scenedia_diaother,1,17
scenedia_diaq,34,1163
scenedia_exclamation,1,33
scenedia_m,65,361
scenedia_scenequasi,2,283
scenedia_sententia,2,44
scenedia_trigger,1,7
scenequasi,3,408
scenequasi_fidambig,1,3
sententia,2,44
speechinsert,1,34
speechinsert_m,1,2
trigger,2,8
