tag,tag_count,word_count
totaldoctagswords,307,14797
arrivaldeparture,5,45
authorialobservation,1,103
blend,3,27
blend_arrivaldeparture,1,15
chapmarker,4,8
characterdiction,1,12
chbiointro,1,129
chportrait,2,195
descriptor,4,87
dexriptor,1,38
dia,28,1191
dia_i,1,1
dia_quotedtext,1,113
diam,109,4997
diam_arrivaldeparture,1,11
diam_characterdiction,1,12
diam_descriptor,4,87
diam_i,5,9
diam_m,107,874
diam_metaphor,2,30
diaq,3,87
fidambig,1,78
i,10,18
m,111,897
m_arrivaldeparture,1,11
m_metaphor,2,30
metaphor,3,33
monologuethought,1,293
monologuethought_dexriptor,1,38
monologuethought_m,2,9
quotedtext,1,113
quotesother,1,4
sceneaction,3,6231
sceneaction_arrivaldeparture,4,39
sceneaction_blend,2,20
sceneaction_descriptor,3,55
sceneaction_dexriptor,1,38
sceneaction_dia,20,808
sceneaction_diam,62,2625
sceneaction_diaq,3,87
sceneaction_i,6,11
sceneaction_m,63,545
sceneaction_metaphor,1,19
sceneaction_monologuethought,1,293
sceneaction_quotedtext,1,113
sceneaction_sententia,1,56
sceneaction_trigger,1,5
scenedia,3,3284
scenedia_arrivaldeparture,1,6
scenedia_blend,1,7
scenedia_chapmarker,1,2
scenedia_characterdiction,1,12
scenedia_descriptor,1,32
scenedia_dia,8,383
scenedia_diam,46,2353
scenedia_i,1,1
scenedia_m,45,335
scenedia_metaphor,1,11
scenedia_trigger,1,1
scenequasi,1,204
scenequasi_diam,1,19
scenequasi_m,1,3
sententia,4,151
sententia_i,1,2
speechhabitual,2,85
speechhabitual_m,1,12
speechinsert,1,138
speechinsert_m,1,2
thoughtsummary,1,88
thoughtsummary_fidambig,1,78
trigger,2,6
