tag,tag_count,word_count
totaldoctagswords,305,14696
arrivaldeparture,5,44
authorialobservation,1,102
blend,3,27
blend_arrivaldeparture,1,15
chapmarker,4,8
characterdiction,1,12
chbiointro,1,128
chportrait,2,194
dia,28,1187
dia_i,1,1
dia_quotedtext,1,113
diam,109,4966
diam_arrivaldeparture,1,10
diam_characterdiction,1,12
diam_i,5,9
diam_m,109,959
diam_metaphor,2,30
diaq,3,86
fidambig,1,77
i,10,18
m,114,1020
m_arrivaldeparture,1,10
m_metaphor,2,30
metaphor,3,33
monologuethought,1,291
monologuethought_m,3,47
quotedtext,1,113
quotesother,1,4
sceneaction,3,6191
sceneaction_arrivaldeparture,4,38
sceneaction_blend,2,20
sceneaction_dia,20,806
sceneaction_diam,62,2611
sceneaction_diaq,3,86
sceneaction_i,6,11
sceneaction_m,66,637
sceneaction_metaphor,1,19
sceneaction_monologuethought,1,291
sceneaction_quotedtext,1,113
sceneaction_sententia,1,56
sceneaction_trigger,1,5
scenedia,3,3261
scenedia_arrivaldeparture,1,6
scenedia_blend,1,7
scenedia_chapmarker,1,2
scenedia_characterdiction,1,12
scenedia_dia,8,381
scenedia_diam,46,2336
scenedia_i,1,1
scenedia_m,45,366
scenedia_metaphor,1,11
scenedia_trigger,1,1
scenequasi,1,202
scenequasi_diam,1,19
scenequasi_m,1,3
sententia,4,150
sententia_i,1,2
speechhabitual,2,85
speechhabitual_m,1,12
speechinsert,1,138
speechinsert_m,1,2
thoughtsummary,1,87
thoughtsummary_fidambig,1,77
trigger,2,6
