Tag	Previous_Status
diamparenthesis	included
diainset1p_diainset1p	included
scenequasidia_diam	included
dialogueother	included
scenedia_arraivaldeparture	included
scenemonologue_chapmarker	included
scenequasidia_diaq	included
scenequasi_auhorwe	included
sceneaction_monloguethought	included
scenequasidia	included
diainsetnarrative	included
scenedia_diainsetnarrative	included
scenequasidia_reportedspeechquotes	included
scenemonologue_cryptonym	included
scenedia_characterdictiion	included
scenequasidia_trigger	included
diainsetnarrative_quotesother	included
sceneaction_metaphore	included
diainsetnarrative_i	included
scenedia_diamparenthesis	included
scenemonologue_quotedtext	included
diainsetnarrative_m	included
scenemonologue_scenereadingwriting	included
scenedia_speechimangined	included
dia_diamparenthesis	included
scenedia_dialogueother	included
scenemonologue_monologue	included
sceneaction_auhorwe	included
scenequasidia_m	included
Chapter	included
